RT,GazeRT,StimulusHorizontalDegree,StimulusVerticalDegree,InitialGazeDistance
0.42204000000000974,1.0318900000000042,8.0,1,6.8313971876478154
0.5524099999999947,0.954819999999998,35.5,2,2.302998501556277
0.4012000000000029,0.9882000000000062,5.5,-1,3.6005504834076527
0.4579999999999984,0.6216000000000008,38.0,-1,7.733814007362398
0.5250000000000057,1.8161000000000058,10.5,1,7.987053414823948
,0.20529999999999404,48.0,-1,25.34262531661935
0.47980000000001155,,25.5,1,5.2212118727448615
0.41149999999998954,1.915300000000002,10.5,-1,2.9042431039114716
,0.21639999999999304,48.0,1,4.250031519961553
0.3272000000000048,0.6872999999999934,45.5,2,1.6192885056791748
0.3177000000000021,1.4554000000000258,30.5,2,1.84343929310457
0.32579999999998677,,40.5,-2,2.159756662806325
0.30939999999998236,0.7007999999999868,10.5,-2,2.861835738315912
